Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceZ,Lap,LeanAngle,GyroX,GyroY,GyroZ
1,2026-09-13T13:38:12.560Z,48.0555120,17.5701619,115.2,5.58,0.069,0.994,0,0.7,-0.37,-0.16,1.13
2,2026-09-13T13:38:12.600Z,48.0555113,17.5701615,115.2,6.43,0.189,0.998,0,0.9,-1.02,-0.03,0.20
3,2026-09-13T13:38:12.640Z,48.0555106,17.5701610,115.2,7.37,0.304,0.986,0,0.8,-1.81,0.01,-0.76
4,2026-09-13T13:38:12.680Z,48.0555099,17.5701605,115.2,8.19,0.417,1.003,0,0.9,-2.70,-0.29,-1.76
5,2026-09-13T13:38:12.720Z,48.0555089,17.5701600,115.3,8.87,0.519,0.997,0,1.2,-3.91,-0.39,-2.62
6,2026-09-13T13:38:12.760Z,48.0555081,17.5701594,115.2,9.48,0.539,1.000,0,1.4,-4.81,-0.42,-2.82
7,2026-09-13T13:38:12.800Z,48.0555070,17.5701587,115.2,10.32,0.573,0.999,0,1.3,-5.78,-0.92,-3.08
8,2026-09-13T13:38:12.840Z,48.0555059,17.5701580,115.2,11.27,0.619,1.008,0,1.2,-6.86,-1.51,-3.33
9,2026-09-13T13:38:12.880Z,48.0555047,17.5701570,115.2,12.41,0.670,1.010,0,1.0,-7.82,-1.94,-3.42
10,2026-09-13T13:38:12.920Z,48.0555034,17.5701561,115.3,13.69,0.723,1.016,0,0.7,-8.72,-2.11,-3.24
11,2026-09-13T13:38:12.960Z,48.0555020,17.5701552,115.3,14.89,0.762,1.028,0,0.5,-9.66,-2.24,-2.57
12,2026-09-13T13:38:13.000Z,48.0555004,17.5701540,115.2,15.90,0.785,1.026,0,0.3,-10.41,-1.78,-1.45
13,2026-09-13T13:38:13.040Z,48.0554990,17.5701529,115.2,16.78,0.800,1.030,0,-0.2,-10.95,-1.42,-0.08
14,2026-09-13T13:38:13.080Z,48.0554972,17.5701517,115.2,17.78,0.790,1.006,0,-0.4,-11.41,-0.97,1.54
15,2026-09-13T13:38:13.120Z,48.0554954,17.5701505,115.2,18.96,0.786,0.985,0,-0.7,-11.47,-1.03,3.29
16,2026-09-13T13:38:13.160Z,48.0554935,17.5701491,115.2,19.96,0.786,0.968,0,-0.5,-11.36,-1.13,4.96
17,2026-09-13T13:38:13.200Z,48.0554916,17.5701478,115.2,21.07,0.798,0.953,0,-0.7,-10.96,-1.78,6.54
18,2026-09-13T13:38:13.240Z,48.0554894,17.5701463,115.2,22.24,0.785,0.964,0,-0.8,-10.16,-1.74,8.24
19,2026-09-13T13:38:13.280Z,48.0554873,17.5701448,115.2,23.27,0.764,0.985,0,-1.6,-9.19,-1.21,9.82
20,2026-09-13T13:38:13.320Z,48.0554850,17.5701431,115.2,24.13,0.713,1.003,0,-2.4,-7.79,-0.26,11.26
21,2026-09-13T13:38:13.360Z,48.0554827,17.5701415,115.2,24.75,0.641,1.012,0,-3.3,-5.90,0.79,12.61
22,2026-09-13T13:38:13.400Z,48.0554803,17.5701400,115.2,25.30,0.568,1.016,0,-3.1,-3.73,1.49,13.74
23,2026-09-13T13:38:13.440Z,48.0554779,17.5701384,115.2,26.13,0.530,1.015,0,-3.2,-1.28,0.81,14.78
24,2026-09-13T13:38:13.480Z,48.0554754,17.5701367,115.2,26.84,0.510,1.016,0,-3.3,1.63,-0.26,15.77
25,2026-09-13T13:38:13.520Z,48.0554728,17.5701349,115.2,27.87,0.514,1.017,0,-3.6,4.77,-1.58,16.57
26,2026-09-13T13:38:13.560Z,48.0554702,17.5701330,115.2,28.76,0.542,1.016,0,-4.1,8.23,-2.98,17.02
27,2026-09-13T13:38:13.600Z,48.0554673,17.5701313,115.2,29.57,0.562,1.010,0,-4.5,11.50,-3.90,17.08
28,2026-09-13T13:38:13.640Z,48.0554645,17.5701295,115.2,30.38,0.582,1.000,0,-4.4,14.52,-4.38,16.37
29,2026-09-13T13:38:13.680Z,48.0554615,17.5701278,115.2,31.18,0.595,0.998,0,-4.1,17.05,-4.62,14.98
30,2026-09-13T13:38:13.720Z,48.0554586,17.5701259,115.2,31.88,0.601,1.003,0,-3.5,19.00,-4.05,13.05
31,2026-09-13T13:38:13.760Z,48.0554554,17.5701240,115.2,32.83,0.595,1.010,0,-3.3,20.09,-3.17,10.70
32,2026-09-13T13:38:13.800Z,48.0554522,17.5701222,115.2,33.56,0.586,1.014,0,-2.5,20.26,-2.28,8.12
33,2026-09-13T13:38:13.840Z,48.0554491,17.5701203,115.2,34.14,0.576,1.013,0,-1.5,19.53,-1.26,5.46
34,2026-09-13T13:38:13.880Z,48.0554457,17.5701184,115.2,34.74,0.582,1.009,0,-1.1,18.06,-0.77,3.03
35,2026-09-13T13:38:13.920Z,48.0554424,17.5701164,115.2,35.68,0.579,0.999,0,-0.9,16.28,-0.32,0.95
36,2026-09-13T13:38:13.960Z,48.0554389,17.5701144,115.2,36.28,0.585,0.995,0,-0.6,14.10,-0.30,-0.60
37,2026-09-13T13:38:14.000Z,48.0554353,17.5701123,115.2,37.53,0.588,0.995,0,-0.3,12.09,0.03,-1.69
38,2026-09-13T13:38:14.040Z,48.0554316,17.5701102,115.2,38.55,0.585,0.989,0,0.2,10.16,0.13,-2.36
39,2026-09-13T13:38:14.080Z,48.0554279,17.5701081,115.2,39.46,0.589,0.999,0,0.7,8.31,0.22,-2.93
40,2026-09-13T13:38:14.120Z,48.0554242,17.5701059,115.2,39.91,0.595,0.998,0,1.8,6.73,0.06,-3.37
41,2026-09-13T13:38:14.160Z,48.0554203,17.5701037,115.2,40.60,0.605,0.994,0,2.5,5.51,-0.10,-3.48
42,2026-09-13T13:38:14.200Z,48.0554163,17.5701014,115.2,41.68,0.629,1.007,0,2.7,4.63,-0.37,-3.10
43,2026-09-13T13:38:14.240Z,48.0554122,17.5700989,115.2,42.69,0.637,0.998,0,2.3,4.48,-0.41,-2.32
44,2026-09-13T13:38:14.280Z,48.0554082,17.5700964,115.2,43.66,0.645,1.006,0,2.0,4.46,-0.49,-1.23
45,2026-09-13T13:38:14.320Z,48.0554040,17.5700938,115.2,44.40,0.652,1.009,0,1.8,4.75,-0.74,-0.30
46,2026-09-13T13:38:14.360Z,48.0553997,17.5700913,115.2,45.30,0.643,1.004,0,2.3,5.22,-0.54,0.31
47,2026-09-13T13:38:14.400Z,48.0553954,17.5700886,115.2,46.11,0.641,1.005,0,2.9,5.64,-0.37,0.63
48,2026-09-13T13:38:14.440Z,48.0553909,17.5700861,115.2,46.74,0.648,0.999,0,3.4,6.02,-0.35,0.75
49,2026-09-13T13:38:14.480Z,48.0553865,17.5700833,115.2,47.74,0.653,0.990,0,3.3,6.71,-0.11,0.74
50,2026-09-13T13:38:14.520Z,48.0553817,17.5700804,115.2,48.99,0.644,0.973,0,3.5,7.57,0.55,0.62
51,2026-09-13T13:38:14.560Z,48.0553769,17.5700775,115.2,50.28,0.638,0.959,0,3.7,8.63,0.99,0.35
52,2026-09-13T13:38:14.600Z,48.0553722,17.5700744,115.2,50.82,0.627,0.955,0,4.0,9.88,1.16,-0.17
53,2026-09-13T13:38:14.640Z,48.0553675,17.5700715,115.2,51.35,0.630,0.980,0,3.9,10.80,1.03,-0.89
54,2026-09-13T13:38:14.680Z,48.0553627,17.5700683,115.2,51.89,0.635,1.009,0,3.6,11.39,0.73,-1.66
55,2026-09-13T13:38:14.720Z,48.0553576,17.5700652,115.2,52.97,0.641,1.032,0,3.9,11.15,0.23,-2.49
56,2026-09-13T13:38:14.760Z,48.0553525,17.5700621,115.1,54.12,0.656,1.055,0,5.1,10.05,-0.45,-3.48
57,2026-09-13T13:38:14.800Z,48.0553474,17.5700588,115.1,55.13,0.660,1.072,0,5.3,8.11,-0.90,-4.53
58,2026-09-13T13:38:14.840Z,48.0553421,17.5700554,115.1,56.07,0.651,1.053,0,5.3,5.20,-1.13,-5.60
59,2026-09-13T13:38:14.880Z,48.0553367,17.5700519,115.1,57.01,0.648,1.057,0,5.3,1.76,-1.44,-6.58
60,2026-09-13T13:38:14.920Z,48.0553314,17.5700485,115.1,57.78,0.657,1.066,0,5.2,-1.86,-1.74,-7.21
61,2026-09-13T13:38:14.960Z,48.0553259,17.5700449,115.1,58.64,0.680,1.065,0,5.2,-5.48,-1.82,-7.16
62,2026-09-13T13:38:15.000Z,48.0553204,17.5700412,115.1,59.75,0.697,1.047,0,5.1,-8.94,-1.52,-6.61
63,2026-09-13T13:38:15.040Z,48.0553147,17.5700373,115.1,60.78,0.719,1.041,0,4.6,-11.55,-1.14,-5.69
64,2026-09-13T13:38:15.080Z,48.0553089,17.5700336,115.1,62.07,0.728,1.000,0,4.2,-13.71,-0.46,-4.32
65,2026-09-13T13:38:15.120Z,48.0553032,17.5700297,115.1,62.93,0.723,0.975,0,4.5,-15.36,-0.06,-2.88
66,2026-09-13T13:38:15.160Z,48.0552973,17.5700257,115.1,63.64,0.722,0.976,0,3.6,-16.32,-0.06,-1.41
67,2026-09-13T13:38:15.200Z,48.0552913,17.5700215,115.1,64.62,0.729,0.984,0,3.0,-16.57,-0.22,0.07
68,2026-09-13T13:38:15.240Z,48.0552852,17.5700174,115.1,65.62,0.725,0.998,0,2.4,-16.10,-0.54,1.46
69,2026-09-13T13:38:15.280Z,48.0552791,17.5700132,115.1,66.88,0.735,1.023,0,2.0,-14.72,-0.75,2.64
70,2026-09-13T13:38:15.320Z,48.0552728,17.5700087,115.1,68.09,0.738,1.023,0,1.8,-12.58,-0.54,3.62
71,2026-09-13T13:38:15.360Z,48.0552664,17.5700044,115.1,68.93,0.728,1.012,0,1.7,-9.94,-0.36,4.14
72,2026-09-13T13:38:15.400Z,48.0552600,17.5700001,115.1,69.78,0.727,1.005,0,1.5,-7.28,-0.17,4.32
73,2026-09-13T13:38:15.440Z,48.0552535,17.5699956,115.1,70.56,0.729,0.995,0,1.5,-4.97,-0.08,4.15
74,2026-09-13T13:38:15.480Z,48.0552469,17.5699911,115.1,71.58,0.724,0.990,0,1.5,-3.09,-0.37,3.73
75,2026-09-13T13:38:15.520Z,48.0552402,17.5699865,115.1,72.76,0.728,0.997,0,1.6,-1.71,-0.67,3.19
76,2026-09-13T13:38:15.560Z,48.0552334,17.5699818,115.1,73.75,0.733,1.004,0,1.3,-0.66,-0.70,2.64
77,2026-09-13T13:38:15.600Z,48.0552266,17.5699771,115.1,74.67,0.732,1.006,0,0.8,-0.01,-0.56,2.18
78,2026-09-13T13:38:15.640Z,48.0552197,17.5699724,115.1,75.68,0.731,1.008,0,0.7,0.54,-0.41,1.81
79,2026-09-13T13:38:15.680Z,48.0552126,17.5699675,115.1,76.63,0.733,1.011,0,0.9,0.71,-0.20,1.52
80,2026-09-13T13:38:15.720Z,48.0552053,17.5699625,115.1,77.68,0.731,1.006,0,0.7,0.73,-0.07,1.35
81,2026-09-13T13:38:15.760Z,48.0551981,17.5699576,115.1,78.71,0.732,1.004,1,0.5,0.49,-0.26,1.28
82,2026-09-13T13:38:15.800Z,48.0551908,17.5699526,115.1,79.60,0.732,0.992,1,0.5,0.26,-0.08,1.35
83,2026-09-13T13:38:15.840Z,48.0551834,17.5699476,115.1,80.73,0.730,0.992,1,0.3,0.05,-0.07,1.43
84,2026-09-13T13:38:15.880Z,48.0551758,17.5699424,115.1,81.78,0.732,0.990,1,0.3,-0.05,-0.09,1.54
85,2026-09-13T13:38:15.920Z,48.0551682,17.5699371,115.1,82.84,0.727,0.984,1,-0.1,-0.08,0.05,1.71
86,2026-09-13T13:38:15.960Z,48.0551605,17.5699318,115.1,83.71,0.725,0.991,1,-0.5,0.14,0.06,1.74
87,2026-09-13T13:38:16.000Z,48.0551527,17.5699265,115.1,84.63,0.724,1.000,1,-0.3,0.20,-0.34,1.74
88,2026-09-13T13:38:16.040Z,48.0551449,17.5699211,115.1,85.63,0.725,0.998,1,-0.4,0.09,-0.51,1.69
89,2026-09-13T13:38:16.080Z,48.0551370,17.5699157,115.1,86.71,0.724,1.001,1,-0.2,-0.10,-0.59,1.54
90,2026-09-13T13:38:16.120Z,48.0551288,17.5699102,115.1,87.83,0.728,1.022,1,-0.1,-0.54,-0.59,1.40
91,2026-09-13T13:38:16.160Z,48.0551207,17.5699046,115.2,88.80,0.697,1.050,1,-0.4,-1.08,0.84,1.50
92,2026-09-13T13:38:16.200Z,48.0551124,17.5698989,115.2,89.85,0.637,1.029,1,-0.6,-0.38,2.46,1.42
93,2026-09-13T13:38:16.240Z,48.0551043,17.5698934,115.2,90.09,0.588,1.058,1,-0.3,-0.99,3.49,1.71
94,2026-09-13T13:38:16.280Z,48.0550960,17.5698877,115.2,89.97,0.459,0.981,1,-0.6,-0.87,4.63,1.85
95,2026-09-13T13:38:16.320Z,48.0550878,17.5698822,115.2,90.37,0.421,0.943,1,-0.8,-1.11,2.44,1.69
96,2026-09-13T13:38:16.360Z,48.0550795,17.5698764,115.2,90.62,0.419,0.942,1,-0.5,-1.82,0.57,1.53
97,2026-09-13T13:38:16.400Z,48.0550710,17.5698707,115.2,91.98,0.428,0.943,1,-0.6,-3.40,-2.17,1.12
98,2026-09-13T13:38:16.440Z,48.0550624,17.5698649,115.2,93.56,0.498,0.992,1,-0.3,-4.12,-4.05,0.86
99,2026-09-13T13:38:16.480Z,48.0550538,17.5698591,115.2,94.68,0.573,1.056,1,0.2,-5.14,-4.36,1.22
100,2026-09-13T13:38:16.520Z,48.0550450,17.5698530,115.2,95.23,0.585,1.073,1,-0.3,-4.77,-3.16,1.67
101,2026-09-13T13:38:16.560Z,48.0550363,17.5698472,115.2,95.76,0.600,1.048,1,-1.0,-4.02,-2.34,2.44
102,2026-09-13T13:38:16.600Z,48.0550276,17.5698412,115.2,96.29,0.616,1.044,1,-1.1,-2.65,-1.24,3.14
103,2026-09-13T13:38:16.640Z,48.0550185,17.5698351,115.2,97.08,0.589,1.001,1,-1.1,-1.08,-0.28,3.42
104,2026-09-13T13:38:16.680Z,48.0550096,17.5698290,115.2,97.94,0.579,0.983,1,-0.7,0.45,-0.20,3.27
105,2026-09-13T13:38:16.720Z,48.0550005,17.5698228,115.2,99.05,0.580,0.980,1,-1.0,1.57,-0.09,3.01
106,2026-09-13T13:38:16.760Z,48.0549914,17.5698166,115.2,99.74,0.579,0.986,1,-0.9,2.50,0.00,2.62
107,2026-09-13T13:38:16.800Z,48.0549823,17.5698105,115.2,100.15,0.571,0.983,1,-0.8,3.00,0.23,2.37
108,2026-09-13T13:38:16.840Z,48.0549730,17.5698042,115.2,100.81,0.567,0.981,1,-0.1,3.38,0.00,2.21
109,2026-09-13T13:38:16.880Z,48.0549636,17.5697979,115.2,101.99,0.574,0.991,1,-0.0,3.55,-0.15,2.18
110,2026-09-13T13:38:16.920Z,48.0549542,17.5697915,115.2,102.78,0.568,1.001,1,0.2,3.72,-0.49,2.20
111,2026-09-13T13:38:16.960Z,48.0549448,17.5697851,115.2,103.34,0.569,1.010,1,-0.1,4.13,-0.78,2.23
112,2026-09-13T13:38:17.000Z,48.0549352,17.5697787,115.2,104.02,0.577,1.032,1,-0.2,4.64,-1.01,2.23
113,2026-09-13T13:38:17.040Z,48.0549258,17.5697723,115.2,104.40,0.578,1.035,1,0.1,5.40,-1.06,2.16
114,2026-09-13T13:38:17.080Z,48.0549160,17.5697657,115.2,105.80,0.582,1.033,1,0.8,6.22,-0.98,1.99
115,2026-09-13T13:38:17.120Z,48.0549062,17.5697591,115.2,106.82,0.595,1.023,1,0.8,6.70,-0.65,1.81
116,2026-09-13T13:38:17.160Z,48.0548963,17.5697524,115.2,107.64,0.582,1.006,1,0.8,6.97,-0.42,1.70
117,2026-09-13T13:38:17.200Z,48.0548864,17.5697456,115.2,108.55,0.582,0.997,1,0.9,7.11,-0.23,1.63
118,2026-09-13T13:38:17.240Z,48.0548764,17.5697387,115.2,109.27,0.577,0.992,1,0.8,6.88,-0.18,1.62
119,2026-09-13T13:38:17.280Z,48.0548664,17.5697320,115.2,109.95,0.575,0.995,1,0.5,6.47,-0.33,1.52
120,2026-09-13T13:38:17.320Z,48.0548563,17.5697250,115.2,110.62,0.566,1.009,1,0.7,5.99,-0.35,1.37
121,2026-09-13T13:38:17.360Z,48.0548460,17.5697182,115.3,111.65,0.571,1.011,1,0.5,5.38,-0.45,1.06
122,2026-09-13T13:38:17.400Z,48.0548358,17.5697112,115.3,112.42,0.572,1.010,1,0.8,4.38,-0.34,0.76
123,2026-09-13T13:38:17.440Z,48.0548254,17.5697042,115.3,113.16,0.572,1.007,1,1.0,3.26,-0.04,0.50
124,2026-09-13T13:38:17.480Z,48.0548150,17.5696972,115.3,113.82,0.568,0.991,1,1.4,1.98,0.08,0.38
125,2026-09-13T13:38:17.520Z,48.0548045,17.5696900,115.3,114.49,0.569,0.990,1,1.4,0.55,0.09,0.35
126,2026-09-13T13:38:17.560Z,48.0547940,17.5696828,115.3,115.27,0.559,0.992,1,1.1,-0.76,0.14,0.53
127,2026-09-13T13:38:17.600Z,48.0547834,17.5696756,115.2,116.09,0.547,0.997,1,0.8,-1.75,-0.16,0.77
128,2026-09-13T13:38:17.640Z,48.0547727,17.5696683,115.2,116.92,0.541,1.006,1,0.8,-2.67,-0.28,1.16
129,2026-09-13T13:38:17.680Z,48.0547619,17.5696609,115.2,117.57,0.531,1.019,1,0.6,-3.03,-0.32,1.53
130,2026-09-13T13:38:17.720Z,48.0547511,17.5696535,115.3,118.52,0.521,1.019,1,0.3,-2.90,-0.26,1.82
131,2026-09-13T13:38:17.760Z,48.0547403,17.5696460,115.3,119.29,0.519,1.021,1,0.8,-2.65,-0.11,1.95
132,2026-09-13T13:38:17.800Z,48.0547293,17.5696386,115.3,119.83,0.516,1.018,1,0.6,-2.15,0.10,1.94
133,2026-09-13T13:38:17.840Z,48.0547183,17.5696311,115.2,120.42,0.515,1.009,1,0.8,-1.61,0.20,1.82
134,2026-09-13T13:38:17.880Z,48.0547073,17.5696235,115.2,121.18,0.510,0.999,1,0.5,-1.31,0.41,1.68
135,2026-09-13T13:38:17.920Z,48.0546961,17.5696159,115.2,121.88,0.505,1.014,1,0.3,-1.07,0.83,1.65
136,2026-09-13T13:38:17.960Z,48.0546849,17.5696082,115.2,122.59,0.466,0.982,1,0.4,-1.26,1.42,1.76
137,2026-09-13T13:38:18.000Z,48.0546737,17.5696006,115.3,123.17,0.435,1.005,1,0.4,-1.60,1.81,1.89
138,2026-09-13T13:38:18.040Z,48.0546625,17.5695928,115.2,123.09,0.350,0.973,1,0.2,-1.67,2.70,2.09
139,2026-09-13T13:38:18.080Z,48.0546513,17.5695852,115.2,123.26,0.307,0.953,1,0.0,-1.61,1.91,1.85
140,2026-09-13T13:38:18.120Z,48.0546401,17.5695775,115.2,123.26,0.283,0.974,1,-0.1,-3.02,1.00,1.97
141,2026-09-13T13:38:18.160Z,48.0546287,17.5695698,115.2,123.96,0.275,0.980,1,-0.1,-3.10,-0.31,1.55
142,2026-09-13T13:38:18.200Z,48.0546172,17.5695621,115.2,124.93,0.315,1.022,1,0.1,-3.40,-1.77,1.14
143,2026-09-13T13:38:18.240Z,48.0546058,17.5695542,115.2,125.83,0.358,1.060,1,0.5,-4.02,-2.45,1.15
144,2026-09-13T13:38:18.280Z,48.0545942,17.5695463,115.3,126.49,0.388,1.077,1,0.1,-4.19,-2.28,1.43
145,2026-09-13T13:38:18.320Z,48.0545827,17.5695384,115.3,126.87,0.399,1.048,1,-0.1,-3.22,-1.56,1.72
146,2026-09-13T13:38:18.360Z,48.0545711,17.5695305,115.3,127.26,0.414,1.042,1,-0.5,-2.53,-0.90,2.26
147,2026-09-13T13:38:18.400Z,48.0545595,17.5695225,115.3,127.72,0.390,0.984,1,-0.4,-1.71,-0.11,2.72
148,2026-09-13T13:38:18.440Z,48.0545477,17.5695145,115.3,128.16,0.408,0.986,1,-0.6,-0.60,-0.17,2.69
149,2026-09-13T13:38:18.480Z,48.0545360,17.5695065,115.3,128.78,0.402,0.977,1,-0.6,0.41,0.03,2.56
150,2026-09-13T13:38:18.520Z,48.0545242,17.5694985,115.3,129.45,0.406,0.987,1,-0.6,1.18,-0.29,2.17
151,2026-09-13T13:38:18.560Z,48.0545123,17.5694903,115.3,130.01,0.410,1.000,1,-0.5,1.52,-0.17,1.84
152,2026-09-13T13:38:18.600Z,48.0545003,17.5694823,115.3,130.59,0.398,0.992,1,-0.5,1.66,-0.16,1.49
153,2026-09-13T13:38:18.640Z,48.0544883,17.5694741,115.3,130.98,0.399,0.997,1,-0.5,1.30,-0.28,1.34
154,2026-09-13T13:38:18.680Z,48.0544764,17.5694658,115.3,131.56,0.401,1.005,1,-0.5,0.83,-0.33,1.32
155,2026-09-13T13:38:18.720Z,48.0544644,17.5694577,115.2,132.15,0.394,1.007,1,-0.6,0.35,-0.27,1.43
156,2026-09-13T13:38:18.760Z,48.0544523,17.5694493,115.2,132.75,0.391,1.017,1,-1.2,-0.13,-0.38,1.53
157,2026-09-13T13:38:18.800Z,48.0544401,17.5694411,115.3,133.45,0.393,1.023,1,-1.4,-0.49,-0.17,1.71
158,2026-09-13T13:38:18.840Z,48.0544277,17.5694328,115.3,134.01,0.386,1.007,1,-1.1,-0.58,-0.05,1.72
159,2026-09-13T13:38:18.880Z,48.0544155,17.5694244,115.3,134.48,0.392,1.002,1,-1.2,-1.30,0.10,1.64
160,2026-09-13T13:38:18.920Z,48.0544032,17.5694161,115.3,135.08,0.393,0.986,1,-0.9,-2.21,0.15,1.54
161,2026-09-13T13:38:18.960Z,48.0543908,17.5694077,115.3,135.48,0.402,0.979,1,-1.0,-3.37,0.12,1.59
162,2026-09-13T13:38:19.000Z,48.0543784,17.5693992,115.3,136.07,0.403,0.982,1,-1.3,-4.46,0.09,1.80
163,2026-09-13T13:38:19.040Z,48.0543659,17.5693907,115.3,136.69,0.397,0.986,1,-1.1,-4.98,-0.10,2.12
164,2026-09-13T13:38:19.080Z,48.0543534,17.5693823,115.3,137.24,0.402,1.006,1,-1.4,-4.74,-0.27,2.55
165,2026-09-13T13:38:19.120Z,48.0543407,17.5693736,115.3,137.76,0.396,1.012,1,-1.6,-4.12,-0.42,2.88
166,2026-09-13T13:38:19.160Z,48.0543282,17.5693651,115.3,138.34,0.383,1.008,1,-1.9,-3.14,-0.45,3.00
167,2026-09-13T13:38:19.200Z,48.0543155,17.5693566,115.3,138.88,0.385,1.014,1,-2.0,-2.23,-0.57,3.06
168,2026-09-13T13:38:19.240Z,48.0543027,17.5693480,115.2,139.36,0.382,1.012,1,-1.5,-1.46,-0.51,3.05
169,2026-09-13T13:38:19.280Z,48.0542899,17.5693393,115.2,139.85,0.371,1.000,1,-1.6,-0.58,-0.33,3.03
170,2026-09-13T13:38:19.320Z,48.0542771,17.5693307,115.2,140.45,0.371,1.007,1,-1.4,0.74,-0.36,3.05
171,2026-09-13T13:38:19.360Z,48.0542641,17.5693219,115.3,141.09,0.379,1.013,1,-1.4,2.05,-0.42,3.11
172,2026-09-13T13:38:19.400Z,48.0542513,17.5693133,115.3,141.51,0.368,1.001,1,-1.3,3.61,-0.39,3.09
173,2026-09-13T13:38:19.440Z,48.0542382,17.5693046,115.3,142.23,0.371,1.009,1,-1.4,5.34,-0.49,2.95
174,2026-09-13T13:38:19.480Z,48.0542251,17.5692958,115.3,142.61,0.377,1.009,1,-1.1,6.51,-0.55,2.73
175,2026-09-13T13:38:19.520Z,48.0542121,17.5692870,115.3,143.18,0.375,0.995,1,-0.8,7.40,-0.50,2.38
176,2026-09-13T13:38:19.560Z,48.0541989,17.5692782,115.3,143.68,0.371,0.987,1,-0.7,8.07,-0.24,2.04
177,2026-09-13T13:38:19.600Z,48.0541857,17.5692693,115.2,144.03,0.371,0.978,1,-0.6,8.17,-0.08,1.74
178,2026-09-13T13:38:19.640Z,48.0541725,17.5692605,115.2,144.45,0.369,0.970,1,-0.6,7.73,0.00,1.57
179,2026-09-13T13:38:19.680Z,48.0541592,17.5692517,115.2,145.14,0.363,0.969,1,-0.3,7.17,-0.08,1.48
180,2026-09-13T13:38:19.720Z,48.0541459,17.5692428,115.2,145.82,0.360,0.979,1,0.5,6.26,-0.17,1.49
181,2026-09-13T13:38:19.760Z,48.0541325,17.5692338,115.2,146.30,0.361,1.000,1,0.3,5.07,-0.56,1.54
182,2026-09-13T13:38:19.800Z,48.0541191,17.5692247,115.2,146.71,0.358,1.020,1,0.0,4.29,-0.90,1.56
183,2026-09-13T13:38:19.840Z,48.0541055,17.5692158,115.2,147.04,0.355,1.033,1,-0.2,3.62,-1.10,1.57
184,2026-09-13T13:38:19.880Z,48.0540921,17.5692067,115.2,147.47,0.349,1.042,1,0.0,3.44,-1.21,1.46
185,2026-09-13T13:38:19.920Z,48.0540786,17.5691976,115.2,147.95,0.342,1.045,1,0.1,3.48,-1.12,1.39
186,2026-09-13T13:38:19.960Z,48.0540650,17.5691885,115.2,148.62,0.339,1.031,1,0.3,3.75,-0.40,1.41
187,2026-09-13T13:38:20.000Z,48.0540513,17.5691793,115.2,149.13,0.332,1.014,1,0.5,3.79,0.06,1.38
188,2026-09-13T13:38:20.040Z,48.0540377,17.5691702,115.2,149.69,0.335,0.996,1,0.2,3.59,0.91,1.47
189,2026-09-13T13:38:20.080Z,48.0540239,17.5691610,115.2,150.04,0.323,0.950,1,0.3,3.23,1.62,1.62
190,2026-09-13T13:38:20.120Z,48.0540102,17.5691517,115.2,150.64,0.335,0.943,1,0.4,2.76,1.62,1.64
191,2026-09-13T13:38:20.160Z,48.0539964,17.5691423,115.2,150.93,0.312,0.908,1,0.4,2.10,1.52,1.75
192,2026-09-13T13:38:20.200Z,48.0539825,17.5691331,115.2,151.36,0.306,0.907,1,0.3,1.81,0.86,1.79
193,2026-09-13T13:38:20.240Z,48.0539686,17.5691237,115.2,151.73,0.289,0.918,1,0.3,1.41,-0.18,1.88
194,2026-09-13T13:38:20.280Z,48.0539547,17.5691145,115.2,152.22,0.285,0.971,1,0.4,1.03,-1.50,1.82
195,2026-09-13T13:38:20.320Z,48.0539407,17.5691051,115.2,152.61,0.278,1.016,1,0.4,0.82,-1.98,1.64
196,2026-09-13T13:38:20.360Z,48.0539267,17.5690957,115.2,153.26,0.291,1.071,1,0.4,0.81,-2.30,1.32
197,2026-09-13T13:38:20.400Z,48.0539126,17.5690862,115.2,153.80,0.316,1.109,1,0.5,0.28,-1.38,1.14
198,2026-09-13T13:38:20.440Z,48.0538986,17.5690766,115.2,154.28,0.321,1.088,1,0.5,-0.04,-0.15,1.09
199,2026-09-13T13:38:20.480Z,48.0538845,17.5690672,115.2,154.78,0.334,1.051,1,0.6,-0.31,1.08,1.15
200,2026-09-13T13:38:20.520Z,48.0538702,17.5690577,115.2,155.07,0.332,0.995,1,0.4,-0.71,1.75,1.40
201,2026-09-13T13:38:20.560Z,48.0538561,17.5690480,115.2,155.39,0.324,0.949,1,0.1,-0.98,1.73,1.77
202,2026-09-13T13:38:20.600Z,48.0538419,17.5690385,115.2,155.86,0.312,0.916,1,0.1,-1.07,1.15,2.11
203,2026-09-13T13:38:20.640Z,48.0538275,17.5690289,115.2,156.37,0.290,0.945,1,0.2,-0.86,1.22,2.32
204,2026-09-13T13:38:20.680Z,48.0538132,17.5690191,115.2,156.88,0.218,0.960,1,0.2,-0.37,2.30,2.42
205,2026-09-13T13:38:20.720Z,48.0537988,17.5690095,115.2,157.02,0.150,0.968,1,0.5,0.46,2.83,2.25
206,2026-09-13T13:38:20.760Z,48.0537846,17.5690000,115.2,156.38,0.067,0.956,1,0.7,0.96,4.25,1.90
207,2026-09-13T13:38:20.800Z,48.0537704,17.5689904,115.2,156.33,0.029,0.925,1,0.6,0.97,3.17,1.55
208,2026-09-13T13:38:20.840Z,48.0537562,17.5689808,115.2,156.40,0.069,0.969,1,0.5,0.23,0.89,1.43
