Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,2026-09-12T12:31:30.120Z,48.0560154,17.5707847,120.4,5.06,-0.027,-0.060,1.027,0,-1.00,-0.91,3.41
2,2026-09-12T12:31:30.160Z,48.0560155,17.5707839,120.4,5.10,-0.007,-0.101,1.051,0,-2.11,-1.19,5.55
3,2026-09-12T12:31:30.200Z,48.0560156,17.5707832,120.4,5.03,0.009,-0.134,1.062,0,-2.79,-1.29,8.11
4,2026-09-12T12:31:30.240Z,48.0560157,17.5707825,120.4,5.25,0.025,-0.166,1.063,0,-3.11,-1.28,10.98
5,2026-09-12T12:31:30.280Z,48.0560157,17.5707818,120.4,5.31,0.036,-0.183,1.053,0,-2.98,-1.24,14.03
6,2026-09-12T12:31:30.320Z,48.0560158,17.5707810,120.4,5.24,0.031,-0.163,1.026,0,-1.76,-0.80,16.08
7,2026-09-12T12:31:30.360Z,48.0560159,17.5707803,120.4,5.40,0.028,-0.137,0.993,0,-0.75,-0.85,17.67
8,2026-09-12T12:31:30.400Z,48.0560160,17.5707795,120.4,5.52,0.033,-0.108,0.975,0,-0.15,-1.26,18.63
9,2026-09-12T12:31:30.440Z,48.0560159,17.5707786,120.4,5.79,0.036,-0.083,0.965,0,-0.14,-1.85,19.03
10,2026-09-12T12:31:30.480Z,48.0560159,17.5707777,120.4,5.88,0.043,-0.070,0.972,0,-0.63,-2.52,19.07
11,2026-09-12T12:31:30.520Z,48.0560160,17.5707769,120.4,5.80,0.042,-0.073,0.980,0,-1.51,-3.04,19.11
12,2026-09-12T12:31:30.560Z,48.0560160,17.5707761,120.4,5.77,0.045,-0.087,0.998,0,-2.48,-3.49,19.49
13,2026-09-12T12:31:30.600Z,48.0560160,17.5707752,120.4,6.00,0.043,-0.107,1.010,0,-3.07,-3.65,20.35
14,2026-09-12T12:31:30.640Z,48.0560160,17.5707743,120.4,6.17,0.041,-0.121,1.018,0,-3.11,-3.70,21.65
15,2026-09-12T12:31:30.680Z,48.0560160,17.5707734,120.4,6.16,0.038,-0.128,1.014,0,-2.72,-3.75,23.17
16,2026-09-12T12:31:30.720Z,48.0560160,17.5707725,120.4,6.26,0.041,-0.124,1.009,0,-1.99,-3.92,24.66
17,2026-09-12T12:31:30.760Z,48.0560161,17.5707715,120.4,6.55,0.044,-0.110,1.005,0,-1.19,-4.08,25.83
18,2026-09-12T12:31:30.800Z,48.0560160,17.5707705,120.4,6.70,0.048,-0.091,1.002,0,-0.70,-4.33,26.57
19,2026-09-12T12:31:30.840Z,48.0560159,17.5707694,120.4,7.00,0.056,-0.072,1.005,0,-0.60,-4.59,26.80
20,2026-09-12T12:31:30.880Z,48.0560159,17.5707685,120.4,6.61,0.061,-0.050,1.009,0,-0.92,-4.68,26.54
21,2026-09-12T12:31:30.920Z,48.0560157,17.5707676,120.4,6.62,0.066,-0.034,1.011,0,-1.67,-4.65,25.85
22,2026-09-12T12:31:30.960Z,48.0560156,17.5707664,120.4,7.52,0.068,-0.024,1.010,0,-2.85,-4.50,24.88
23,2026-09-12T12:31:31.000Z,48.0560155,17.5707651,120.4,8.16,0.069,-0.024,1.007,0,-4.25,-4.32,23.94
24,2026-09-12T12:31:31.040Z,48.0560153,17.5707642,120.4,7.57,0.073,-0.031,1.006,0,-5.74,-4.21,23.19
25,2026-09-12T12:31:31.080Z,48.0560153,17.5707630,120.4,7.60,0.074,-0.040,1.006,0,-7.17,-4.19,22.79
26,2026-09-12T12:31:31.120Z,48.0560152,17.5707617,120.4,8.15,0.076,-0.057,1.006,0,-8.45,-4.32,22.80
27,2026-09-12T12:31:31.160Z,48.0560151,17.5707606,120.4,7.79,0.078,-0.069,1.002,0,-9.19,-4.49,23.11
28,2026-09-12T12:31:31.200Z,48.0560148,17.5707596,120.4,7.61,0.082,-0.086,1.007,0,-9.54,-4.72,23.56
29,2026-09-12T12:31:31.240Z,48.0560143,17.5707582,120.4,8.59,0.080,-0.104,1.004,0,-9.63,-4.95,24.20
30,2026-09-12T12:31:31.280Z,48.0560141,17.5707570,120.4,8.65,0.083,-0.120,1.008,0,-9.30,-5.29,24.94
31,2026-09-12T12:31:31.320Z,48.0560140,17.5707558,120.4,8.48,0.081,-0.132,1.013,0,-8.79,-5.59,25.82
32,2026-09-12T12:31:31.360Z,48.0560139,17.5707545,120.4,9.04,0.079,-0.143,1.015,0,-8.25,-6.04,26.92
33,2026-09-12T12:31:31.400Z,48.0560134,17.5707533,120.4,9.03,0.078,-0.143,1.016,0,-7.64,-6.55,28.14
34,2026-09-12T12:31:31.440Z,48.0560130,17.5707520,120.4,9.33,0.078,-0.139,1.014,0,-7.03,-6.97,29.34
35,2026-09-12T12:31:31.480Z,48.0560127,17.5707508,120.4,9.30,0.074,-0.133,1.005,0,-6.51,-7.33,30.48
36,2026-09-12T12:31:31.520Z,48.0560124,17.5707494,120.4,9.42,0.078,-0.122,1.003,0,-5.93,-7.79,31.43
37,2026-09-12T12:31:31.560Z,48.0560121,17.5707481,120.4,9.49,0.085,-0.121,1.006,0,-5.48,-8.19,32.21
38,2026-09-12T12:31:31.600Z,48.0560115,17.5707467,120.4,9.80,0.083,-0.115,1.004,0,-4.90,-8.46,32.89
39,2026-09-12T12:31:31.640Z,48.0560111,17.5707454,120.4,9.82,0.090,-0.117,1.015,0,-4.26,-8.97,33.56
40,2026-09-12T12:31:31.680Z,48.0560105,17.5707441,120.4,10.25,0.097,-0.118,1.022,0,-3.64,-9.28,34.24
41,2026-09-12T12:31:31.720Z,48.0560100,17.5707426,120.4,10.59,0.101,-0.113,1.026,0,-2.86,-9.39,34.85
42,2026-09-12T12:31:31.760Z,48.0560094,17.5707411,120.4,10.94,0.101,-0.108,1.029,0,-2.16,-9.47,35.36
43,2026-09-12T12:31:31.800Z,48.0560088,17.5707395,120.4,11.50,0.107,-0.107,1.032,0,-1.47,-9.56,35.69
44,2026-09-12T12:31:31.840Z,48.0560085,17.5707382,120.4,11.08,0.106,-0.103,1.024,0,-0.91,-9.52,35.81
45,2026-09-12T12:31:31.880Z,48.0560078,17.5707369,120.5,10.99,0.111,-0.094,1.024,0,-0.09,-9.58,35.69
46,2026-09-12T12:31:31.920Z,48.0560070,17.5707354,120.4,11.28,0.122,-0.094,1.025,0,0.55,-9.70,35.50
47,2026-09-12T12:31:31.960Z,48.0560062,17.5707341,120.4,11.80,0.130,-0.089,1.018,0,1.28,-9.64,35.13
48,2026-09-12T12:31:32.000Z,48.0560055,17.5707324,120.4,12.34,0.141,-0.086,1.019,0,2.00,-9.59,34.66
49,2026-09-12T12:31:32.040Z,48.0560048,17.5707310,120.4,12.35,0.151,-0.083,1.021,0,2.59,-9.50,34.10
50,2026-09-12T12:31:32.080Z,48.0560039,17.5707296,120.5,12.43,0.157,-0.077,1.025,0,3.06,-9.33,33.33
51,2026-09-12T12:31:32.120Z,48.0560030,17.5707281,120.4,12.82,0.155,-0.072,1.025,0,3.43,-9.06,32.41
52,2026-09-12T12:31:32.160Z,48.0560021,17.5707266,120.4,13.15,0.148,-0.066,1.028,0,3.71,-8.70,31.40
53,2026-09-12T12:31:32.200Z,48.0560012,17.5707250,120.4,13.82,0.145,-0.064,1.029,0,3.84,-8.34,30.19
54,2026-09-12T12:31:32.240Z,48.0560002,17.5707235,120.4,13.66,0.141,-0.058,1.024,0,3.95,-7.81,28.86
55,2026-09-12T12:31:32.280Z,48.0559992,17.5707222,120.4,13.47,0.140,-0.058,1.024,0,4.00,-7.29,27.58
56,2026-09-12T12:31:32.320Z,48.0559982,17.5707209,120.4,13.74,0.136,-0.061,1.021,0,3.98,-6.74,26.31
57,2026-09-12T12:31:32.360Z,48.0559971,17.5707194,120.4,14.23,0.132,-0.068,1.021,0,3.99,-6.25,25.15
58,2026-09-12T12:31:32.400Z,48.0559960,17.5707179,120.4,14.66,0.127,-0.075,1.024,0,4.14,-5.83,24.20
59,2026-09-12T12:31:32.440Z,48.0559949,17.5707164,120.4,14.65,0.120,-0.078,1.023,0,4.45,-5.41,23.44
60,2026-09-12T12:31:32.480Z,48.0559937,17.5707149,120.4,15.15,0.113,-0.086,1.021,0,4.76,-5.13,22.86
61,2026-09-12T12:31:32.520Z,48.0559927,17.5707136,120.4,14.91,0.108,-0.089,1.018,0,5.23,-4.97,22.38
62,2026-09-12T12:31:32.560Z,48.0559915,17.5707121,120.4,15.29,0.108,-0.083,1.016,0,5.84,-4.84,21.92
63,2026-09-12T12:31:32.600Z,48.0559903,17.5707105,120.4,15.49,0.106,-0.081,1.016,0,6.41,-4.78,21.47
64,2026-09-12T12:31:32.640Z,48.0559891,17.5707091,120.4,15.63,0.112,-0.084,1.016,0,6.82,-4.79,21.00
65,2026-09-12T12:31:32.680Z,48.0559878,17.5707076,120.4,15.88,0.110,-0.082,1.016,0,7.26,-4.58,20.47
66,2026-09-12T12:31:32.720Z,48.0559866,17.5707060,120.4,16.32,0.106,-0.081,1.012,0,7.70,-4.41,19.88
67,2026-09-12T12:31:32.760Z,48.0559852,17.5707047,120.4,16.15,0.104,-0.072,1.009,0,8.26,-4.15,19.23
68,2026-09-12T12:31:32.800Z,48.0559841,17.5707033,120.4,16.09,0.099,-0.060,1.010,0,8.88,-3.84,18.53
69,2026-09-12T12:31:32.840Z,48.0559827,17.5707017,120.4,16.49,0.094,-0.063,1.012,0,9.24,-3.64,17.79
70,2026-09-12T12:31:32.880Z,48.0559812,17.5707003,120.4,16.87,0.093,-0.057,1.011,0,9.60,-3.41,16.97
71,2026-09-12T12:31:32.920Z,48.0559799,17.5706989,120.4,16.82,0.095,-0.049,1.016,0,9.75,-3.14,16.03
72,2026-09-12T12:31:32.960Z,48.0559787,17.5706973,120.4,17.03,0.095,-0.043,1.023,0,9.35,-2.84,14.80
73,2026-09-12T12:31:33.000Z,48.0559770,17.5706959,120.4,17.63,0.092,-0.037,1.014,0,8.57,-2.33,13.30
74,2026-09-12T12:31:33.040Z,48.0559753,17.5706948,120.4,17.85,0.088,-0.022,1.008,0,7.84,-1.81,11.63
75,2026-09-12T12:31:33.080Z,48.0559739,17.5706935,120.4,17.35,0.095,-0.029,1.017,0,6.88,-1.44,9.67
76,2026-09-12T12:31:33.120Z,48.0559726,17.5706919,120.4,17.55,0.100,-0.039,1.014,0,6.12,-0.93,7.77
77,2026-09-12T12:31:33.160Z,48.0559708,17.5706905,120.4,18.48,0.099,-0.055,1.002,0,5.67,-0.55,6.09
78,2026-09-12T12:31:33.200Z,48.0559692,17.5706892,120.4,18.50,0.108,-0.079,1.011,0,5.50,-0.46,4.66
79,2026-09-12T12:31:33.240Z,48.0559677,17.5706878,120.4,18.38,0.106,-0.098,1.001,0,5.40,-0.29,3.46
80,2026-09-12T12:31:33.280Z,48.0559662,17.5706862,120.4,18.31,0.096,-0.102,0.992,0,5.46,-0.27,2.52
81,2026-09-12T12:31:33.320Z,48.0559644,17.5706848,120.4,18.90,0.086,-0.105,0.992,0,5.34,-0.21,1.60
82,2026-09-12T12:31:33.360Z,48.0559629,17.5706834,120.4,19.02,0.075,-0.106,0.989,0,5.11,-0.17,0.66
83,2026-09-12T12:31:33.400Z,48.0559612,17.5706819,120.4,19.19,0.076,-0.109,0.988,0,4.87,-0.29,-0.21
84,2026-09-12T12:31:33.440Z,48.0559596,17.5706802,120.4,19.39,0.088,-0.119,1.000,0,4.67,-0.30,-0.85
85,2026-09-12T12:31:33.480Z,48.0559580,17.5706789,120.4,19.57,0.095,-0.130,0.993,0,4.52,-0.17,-1.13
86,2026-09-12T12:31:33.520Z,48.0559562,17.5706774,120.4,19.78,0.104,-0.135,1.000,0,4.57,-0.23,-1.13
87,2026-09-12T12:31:33.560Z,48.0559546,17.5706757,120.4,19.63,0.102,-0.128,1.003,0,4.68,-0.14,-0.97
88,2026-09-12T12:31:33.600Z,48.0559529,17.5706740,120.4,20.22,0.090,-0.110,1.004,0,4.65,-0.06,-0.88
89,2026-09-12T12:31:33.640Z,48.0559513,17.5706723,120.4,20.02,0.080,-0.091,1.005,0,4.35,-0.07,-1.00
90,2026-09-12T12:31:33.680Z,48.0559496,17.5706708,120.4,20.27,0.080,-0.077,1.014,0,3.69,0.00,-1.30
91,2026-09-12T12:31:33.720Z,48.0559480,17.5706691,120.4,20.14,0.073,-0.067,0.999,0,2.70,0.11,-1.64
92,2026-09-12T12:31:33.760Z,48.0559462,17.5706676,120.4,20.38,0.082,-0.072,0.998,0,1.55,0.00,-1.80
93,2026-09-12T12:31:33.800Z,48.0559446,17.5706659,120.4,20.56,0.084,-0.088,0.994,0,0.46,0.03,-1.67
94,2026-09-12T12:31:33.840Z,48.0559428,17.5706641,120.4,20.58,0.086,-0.096,0.995,0,-0.09,-0.14,-1.24
95,2026-09-12T12:31:33.880Z,48.0559410,17.5706626,120.4,20.68,0.084,-0.099,0.997,0,-0.22,-0.32,-0.53
96,2026-09-12T12:31:33.920Z,48.0559392,17.5706606,120.4,21.29,0.087,-0.109,1.011,0,-0.19,-0.50,0.29
97,2026-09-12T12:31:33.960Z,48.0559374,17.5706588,120.4,21.47,0.082,-0.109,1.016,0,0.11,-0.36,1.06
98,2026-09-12T12:31:34.000Z,48.0559356,17.5706571,120.4,21.51,0.079,-0.099,1.015,0,0.58,-0.34,1.61
99,2026-09-12T12:31:34.040Z,48.0559338,17.5706553,120.3,21.73,0.079,-0.091,1.018,0,0.93,-0.10,1.89
100,2026-09-12T12:31:34.080Z,48.0559321,17.5706536,120.4,21.30,0.067,-0.082,1.004,0,1.06,0.30,1.90
101,2026-09-12T12:31:34.120Z,48.0559303,17.5706519,120.4,21.32,0.069,-0.074,1.006,0,1.03,0.39,1.67
102,2026-09-12T12:31:34.160Z,48.0559286,17.5706499,120.3,21.62,0.063,-0.071,0.998,0,0.97,0.57,1.35
103,2026-09-12T12:31:34.200Z,48.0559266,17.5706482,120.4,22.12,0.066,-0.082,1.001,0,0.86,0.39,1.22
104,2026-09-12T12:31:34.240Z,48.0559248,17.5706464,120.4,22.01,0.061,-0.092,0.995,0,0.75,0.26,1.53
105,2026-09-12T12:31:34.280Z,48.0559229,17.5706447,120.4,22.25,0.070,-0.103,0.999,0,0.86,-0.12,2.13
106,2026-09-12T12:31:34.320Z,48.0559210,17.5706428,120.4,22.38,0.068,-0.104,0.991,0,1.38,-0.05,2.88
107,2026-09-12T12:31:34.360Z,48.0559191,17.5706408,120.3,22.46,0.068,-0.094,0.985,0,2.05,0.11,3.55
108,2026-09-12T12:31:34.400Z,48.0559173,17.5706392,120.4,22.32,0.061,-0.080,0.977,0,2.58,0.57,3.91
109,2026-09-12T12:31:34.440Z,48.0559155,17.5706371,120.3,22.87,0.060,-0.063,0.989,0,3.08,0.75,3.72
110,2026-09-12T12:31:34.480Z,48.0559136,17.5706354,120.3,22.56,0.055,-0.047,0.989,0,3.36,0.98,3.12
111,2026-09-12T12:31:34.520Z,48.0559117,17.5706336,120.3,22.63,0.048,-0.041,0.990,0,3.09,1.04,2.32
112,2026-09-12T12:31:34.560Z,48.0559098,17.5706317,120.3,23.15,0.054,-0.043,0.995,0,2.58,0.74,1.41
113,2026-09-12T12:31:34.600Z,48.0559079,17.5706298,120.4,23.45,0.063,-0.046,1.001,0,1.90,0.46,0.55
114,2026-09-12T12:31:34.640Z,48.0559059,17.5706278,120.3,23.42,0.060,-0.052,0.997,0,1.00,0.46,-0.08
115,2026-09-12T12:31:34.680Z,48.0559039,17.5706258,120.3,23.43,0.050,-0.064,0.997,0,-0.07,0.48,-0.46
116,2026-09-12T12:31:34.720Z,48.0559020,17.5706239,120.3,23.53,0.036,-0.072,0.992,0,-0.97,0.42,-0.60
117,2026-09-12T12:31:34.760Z,48.0558999,17.5706221,120.3,24.12,0.030,-0.079,0.993,0,-1.72,0.01,-0.50
118,2026-09-12T12:31:34.800Z,48.0558978,17.5706201,120.4,24.55,0.030,-0.086,1.000,0,-2.12,-0.54,-0.22
119,2026-09-12T12:31:34.840Z,48.0558959,17.5706179,120.4,24.38,0.035,-0.093,1.004,0,-2.20,-1.00,0.18
120,2026-09-12T12:31:34.880Z,48.0558939,17.5706161,120.4,24.50,0.036,-0.098,1.003,0,-2.11,-1.25,0.64
121,2026-09-12T12:31:34.920Z,48.0558917,17.5706141,120.4,24.44,0.051,-0.091,1.021,0,-1.77,-1.63,1.05
122,2026-09-12T12:31:34.960Z,48.0558899,17.5706121,120.3,23.97,0.049,-0.086,1.020,0,-1.59,-1.39,1.44
123,2026-09-12T12:31:35.000Z,48.0558880,17.5706100,120.4,24.15,0.038,-0.088,1.015,0,-1.60,-0.97,1.70
124,2026-09-12T12:31:35.040Z,48.0558858,17.5706081,120.4,24.76,0.021,-0.089,1.010,0,-1.74,-0.55,1.88
125,2026-09-12T12:31:35.080Z,48.0558840,17.5706060,120.4,24.38,0.014,-0.087,1.004,0,-1.77,-0.34,1.94
126,2026-09-12T12:31:35.120Z,48.0558817,17.5706042,120.4,24.68,0.007,-0.087,0.993,0,-1.76,-0.12,1.89
127,2026-09-12T12:31:35.160Z,48.0558796,17.5706021,120.4,24.62,0.014,-0.080,0.995,0,-1.65,-0.05,1.80
128,2026-09-12T12:31:35.200Z,48.0558778,17.5706000,120.4,24.72,0.027,-0.069,1.000,0,-1.51,-0.01,1.62
129,2026-09-12T12:31:35.240Z,48.0558757,17.5705979,120.4,24.73,0.041,-0.062,1.004,0,-1.57,-0.01,1.43
130,2026-09-12T12:31:35.280Z,48.0558735,17.5705957,120.4,24.90,0.040,-0.061,1.007,0,-1.93,0.07,1.34
131,2026-09-12T12:31:35.320Z,48.0558717,17.5705937,120.4,24.77,0.033,-0.061,1.006,0,-2.37,0.08,1.28
132,2026-09-12T12:31:35.360Z,48.0558696,17.5705917,120.4,24.86,0.028,-0.064,1.006,0,-2.80,-0.16,1.24
133,2026-09-12T12:31:35.400Z,48.0558674,17.5705895,120.4,25.10,0.020,-0.067,1.001,0,-3.30,-0.43,1.38
134,2026-09-12T12:31:35.440Z,48.0558655,17.5705874,120.4,25.04,0.017,-0.073,1.004,0,-3.59,-0.69,1.49
135,2026-09-12T12:31:35.480Z,48.0558635,17.5705852,120.3,24.87,0.017,-0.079,1.007,0,-3.82,-0.84,1.74
136,2026-09-12T12:31:35.520Z,48.0558613,17.5705832,120.3,24.94,0.019,-0.091,1.012,0,-4.10,-0.92,2.19
137,2026-09-12T12:31:35.560Z,48.0558594,17.5705810,120.3,25.09,0.024,-0.104,1.019,0,-4.09,-0.81,2.60
138,2026-09-12T12:31:35.600Z,48.0558571,17.5705789,120.3,25.41,0.021,-0.103,1.018,0,-4.00,-0.62,3.26
139,2026-09-12T12:31:35.640Z,48.0558550,17.5705767,120.3,25.72,0.019,-0.100,1.017,0,-3.77,-0.54,3.84
140,2026-09-12T12:31:35.680Z,48.0558528,17.5705746,120.3,25.43,0.019,-0.093,1.017,0,-3.35,-0.49,4.29
141,2026-09-12T12:31:35.720Z,48.0558508,17.5705725,120.3,25.39,0.014,-0.088,1.008,0,-3.04,-0.48,4.76
142,2026-09-12T12:31:35.760Z,48.0558488,17.5705703,120.3,25.41,0.013,-0.085,1.002,0,-2.67,-0.76,5.19
143,2026-09-12T12:31:35.800Z,48.0558465,17.5705682,120.3,26.16,0.020,-0.087,1.004,0,-2.19,-0.93,5.48
144,2026-09-12T12:31:35.840Z,48.0558442,17.5705661,120.3,26.41,0.020,-0.089,1.001,0,-1.80,-1.08,5.85
145,2026-09-12T12:31:35.880Z,48.0558419,17.5705638,120.4,26.32,0.014,-0.090,0.999,0,-1.53,-1.29,6.22
146,2026-09-12T12:31:35.920Z,48.0558399,17.5705618,120.3,26.17,0.010,-0.089,1.009,0,-1.00,-1.45,6.39
147,2026-09-12T12:31:35.960Z,48.0558376,17.5705598,120.3,25.57,0.002,-0.090,1.005,0,-0.64,-1.52,6.64
148,2026-09-12T12:31:36.000Z,48.0558358,17.5705576,120.3,25.12,0.005,-0.092,1.009,0,-0.29,-1.88,6.84
149,2026-09-12T12:31:36.040Z,48.0558335,17.5705555,120.3,25.78,0.013,-0.091,1.013,0,0.24,-1.98,6.95
150,2026-09-12T12:31:36.080Z,48.0558313,17.5705533,120.3,25.83,0.019,-0.089,1.009,0,0.82,-1.94,6.94
151,2026-09-12T12:31:36.120Z,48.0558291,17.5705512,120.3,25.91,0.024,-0.084,1.011,0,1.18,-1.98,6.97
152,2026-09-12T12:31:36.160Z,48.0558267,17.5705492,120.3,26.05,0.020,-0.078,1.016,0,1.62,-1.80,6.77
153,2026-09-12T12:31:36.200Z,48.0558246,17.5705473,120.3,26.00,0.011,-0.074,1.019,0,1.80,-1.54,6.55
154,2026-09-12T12:31:36.240Z,48.0558223,17.5705451,120.3,26.11,0.007,-0.071,1.024,0,1.87,-1.32,6.34
155,2026-09-12T12:31:36.280Z,48.0558202,17.5705428,120.3,26.15,0.002,-0.069,1.025,0,1.89,-0.87,6.03
156,2026-09-12T12:31:36.320Z,48.0558180,17.5705409,120.3,26.08,0.000,-0.070,1.015,0,1.85,-0.31,5.62
157,2026-09-12T12:31:36.360Z,48.0558156,17.5705391,120.3,26.27,0.000,-0.070,1.003,0,1.57,0.04,5.24
158,2026-09-12T12:31:36.400Z,48.0558133,17.5705370,120.3,26.41,0.000,-0.075,0.990,0,1.22,0.40,4.84
159,2026-09-12T12:31:36.440Z,48.0558110,17.5705348,120.3,26.55,-0.005,-0.078,0.977,0,0.92,0.57,4.40
160,2026-09-12T12:31:36.480Z,48.0558087,17.5705327,120.3,26.46,-0.009,-0.084,0.974,0,0.48,0.37,4.18
161,2026-09-12T12:31:36.520Z,48.0558064,17.5705309,120.2,26.08,-0.008,-0.090,0.982,0,0.29,0.05,3.93
162,2026-09-12T12:31:36.560Z,48.0558043,17.5705289,120.2,25.87,-0.006,-0.094,0.990,0,0.10,-0.23,3.85
163,2026-09-12T12:31:36.600Z,48.0558020,17.5705269,120.2,26.47,-0.001,-0.088,1.006,0,0.07,-0.60,3.81
164,2026-09-12T12:31:36.640Z,48.0557997,17.5705246,120.2,27.05,-0.002,-0.082,1.009,0,0.00,-0.60,3.73
165,2026-09-12T12:31:36.680Z,48.0557973,17.5705228,120.2,26.89,-0.003,-0.076,1.010,0,-0.37,-0.52,3.80
166,2026-09-12T12:31:36.720Z,48.0557950,17.5705209,120.2,26.65,-0.009,-0.073,1.006,0,-0.63,-0.29,3.73
167,2026-09-12T12:31:36.760Z,48.0557926,17.5705188,120.2,26.82,-0.013,-0.076,1.003,0,-1.12,-0.09,3.78
168,2026-09-12T12:31:36.800Z,48.0557903,17.5705169,120.2,26.62,-0.019,-0.081,0.994,0,-1.54,0.19,3.87
169,2026-09-12T12:31:36.840Z,48.0557882,17.5705149,120.2,26.55,-0.018,-0.084,0.988,0,-1.85,0.20,4.09
170,2026-09-12T12:31:36.880Z,48.0557858,17.5705130,120.2,26.49,-0.012,-0.094,0.987,0,-2.12,0.10,4.34
171,2026-09-12T12:31:36.920Z,48.0557834,17.5705111,120.2,26.61,-0.002,-0.095,0.987,0,-2.14,0.09,4.74
172,2026-09-12T12:31:36.960Z,48.0557810,17.5705091,120.2,27.28,-0.001,-0.100,0.980,0,-2.09,0.07,5.04
173,2026-09-12T12:31:37.000Z,48.0557786,17.5705070,120.2,27.47,-0.007,-0.100,0.980,0,-1.95,-0.07,5.39
174,2026-09-12T12:31:37.040Z,48.0557762,17.5705050,120.2,27.38,-0.009,-0.101,0.993,0,-1.68,-0.05,5.69
175,2026-09-12T12:31:37.080Z,48.0557738,17.5705030,120.2,27.14,-0.026,-0.097,0.985,0,-1.20,0.01,5.84
176,2026-09-12T12:31:37.120Z,48.0557714,17.5705012,120.2,27.45,-0.031,-0.101,0.990,0,-1.08,-0.32,6.12
177,2026-09-12T12:31:37.160Z,48.0557689,17.5704993,120.2,27.50,-0.022,-0.100,1.000,0,-0.64,-0.50,6.20
178,2026-09-12T12:31:37.200Z,48.0557665,17.5704974,120.2,27.48,-0.024,-0.093,0.999,0,-0.16,-0.57,6.24
179,2026-09-12T12:31:37.240Z,48.0557643,17.5704953,120.2,27.47,-0.026,-0.086,0.997,0,-0.10,-0.74,6.48
180,2026-09-12T12:31:37.280Z,48.0557619,17.5704933,120.2,27.47,-0.017,-0.081,1.008,0,0.23,-0.82,6.49
181,2026-09-12T12:31:37.320Z,48.0557595,17.5704914,120.2,27.32,-0.020,-0.083,1.006,0,0.41,-0.73,6.48
182,2026-09-12T12:31:37.360Z,48.0557571,17.5704896,120.2,27.31,-0.021,-0.087,1.003,0,0.42,-0.90,6.53
183,2026-09-12T12:31:37.400Z,48.0557546,17.5704877,120.2,27.44,-0.008,-0.099,1.007,0,0.42,-1.02,6.43
184,2026-09-12T12:31:37.440Z,48.0557522,17.5704857,120.2,27.59,-0.002,-0.107,1.005,0,0.49,-1.23,6.26
185,2026-09-12T12:31:37.480Z,48.0557498,17.5704839,120.2,27.58,0.004,-0.106,1.003,0,0.45,-1.32,6.24
186,2026-09-12T12:31:37.520Z,48.0557473,17.5704819,120.2,27.70,0.004,-0.098,0.999,0,0.53,-1.23,6.21
187,2026-09-12T12:31:37.560Z,48.0557449,17.5704799,120.2,27.59,-0.003,-0.088,0.998,0,0.75,-1.19,6.22
188,2026-09-12T12:31:37.600Z,48.0557425,17.5704781,120.2,27.42,-0.003,-0.088,0.998,0,0.92,-1.13,6.17
189,2026-09-12T12:31:37.640Z,48.0557401,17.5704763,120.2,27.46,-0.006,-0.091,0.990,0,1.16,-1.23,6.09
190,2026-09-12T12:31:37.680Z,48.0557377,17.5704744,120.2,27.37,-0.005,-0.094,0.993,0,1.31,-1.59,6.17
191,2026-09-12T12:31:37.720Z,48.0557352,17.5704726,120.2,27.38,-0.003,-0.090,0.996,0,1.64,-1.56,6.23
192,2026-09-12T12:31:37.760Z,48.0557327,17.5704707,120.2,27.45,-0.008,-0.085,0.992,0,1.98,-1.44,6.27
193,2026-09-12T12:31:37.800Z,48.0557303,17.5704689,120.2,27.46,-0.012,-0.075,1.000,0,2.27,-1.48,6.48
194,2026-09-12T12:31:37.840Z,48.0557278,17.5704671,120.1,27.49,-0.011,-0.069,1.011,0,2.71,-1.09,6.49
195,2026-09-12T12:31:37.880Z,48.0557254,17.5704652,120.1,27.45,-0.017,-0.076,1.004,0,3.01,-1.01,6.29
196,2026-09-12T12:31:37.920Z,48.0557228,17.5704634,120.2,27.67,-0.016,-0.077,1.008,0,3.27,-1.03,6.24
197,2026-09-12T12:31:37.960Z,48.0557203,17.5704616,120.1,27.78,-0.007,-0.083,1.007,0,3.25,-1.06,6.04
198,2026-09-12T12:31:38.000Z,48.0557178,17.5704598,120.1,27.71,-0.009,-0.087,1.000,0,3.39,-0.90,5.71
199,2026-09-12T12:31:38.040Z,48.0557154,17.5704580,120.1,27.66,-0.003,-0.089,1.001,0,3.25,-0.90,5.47
200,2026-09-12T12:31:38.080Z,48.0557129,17.5704562,120.2,27.71,-0.007,-0.078,1.006,0,3.20,-0.50,5.33
201,2026-09-12T12:31:38.120Z,48.0557104,17.5704544,120.2,27.77,-0.007,-0.083,1.002,0,3.03,-0.50,4.97
202,2026-09-12T12:31:38.160Z,48.0557079,17.5704527,120.2,27.75,-0.009,-0.079,1.004,0,3.00,-0.49,4.74
203,2026-09-12T12:31:38.200Z,48.0557054,17.5704510,120.1,27.69,-0.012,-0.071,1.002,0,2.98,-0.37,4.55
204,2026-09-12T12:31:38.240Z,48.0557029,17.5704492,120.1,27.87,-0.013,-0.074,0.993,0,2.84,-0.50,4.34
205,2026-09-12T12:31:38.280Z,48.0557002,17.5704474,120.1,27.81,-0.011,-0.078,0.992,0,2.79,-0.71,4.12
206,2026-09-12T12:31:38.320Z,48.0556978,17.5704458,120.1,27.88,-0.019,-0.073,0.991,0,2.92,-0.57,4.03
